pdb_code,resolution,year,measure_type,operator,affinity_m,paffinity
2tpi,2.1,1982,Kd,=,4.9e-05,4.309803919971486
5tln,2.3,1982,Ki,=,4.2999999999999996e-07,6.366531544420414
4cts,2.9,1984,Kd,=,9.999999999999999e-06,5.0
1rnt,1.9,1987,Kd,=,6.5e-06,5.187086643357144
6cha,1.8,1987,Ki,=,3.9999999999999996e-05,4.3979400086720375
4ts1,2.5,1989,Kd,=,1.1599999999999999e-05,4.935542010773082
4tmn,1.7,1989,Ki,=,6.800000000000001e-11,10.167491087293763
2tmn,1.6,1989,Ki,=,1.3e-06,5.886056647693163
1tlp,2.3,1989,Ki,=,2.8000000000000003e-08,7.552841968657781
1tmn,1.9,1989,Ki,=,5.0000000000000004e-08,7.301029995663981
5tmn,1.6,1989,Ki,=,9.1e-09,8.040958607678906
4fab,2.7,1990,Kd,=,8.800000000000001e-09,8.05551732784983
1p01,2.0,1990,Ki,=,3.5e-10,9.455931955649724
1p05,2.1,1990,Ki,=,1.1e-06,5.958607314841775
1p10,2.25,1990,Ki,=,2.0000000000000002e-07,6.698970004336019
6gch,2.1,1990,Ki,=,1.9999999999999998e-05,4.698970004336019
7gch,1.8,1990,Ki,=,2e-06,5.698970004336019
1p04,2.55,1990,Ki,=,4e-08,7.3979400086720375
1p06,2.34,1990,Ki,=,5.4e-07,6.267606240177032
1p03,2.15,1990,Ki,=,6.400000000000001e-09,8.193820026016112
1p02,2.0,1990,Ki,=,6.7e-08,7.173925197299173
8abp,1.49,1991,Kd,=,1e-08,8.0
1rbp,2.0,1991,Kd,=,1.8999999999999998e-07,6.721246399047171
7abp,1.67,1991,Kd,=,3.5e-07,6.455931955649724
6abp,1.67,1991,Kd,=,4.3999999999999997e-07,6.356547323513813
1fkf,1.7,1991,Kd,=,4.0000000000000007e-10,9.397940008672037
6apr,2.5,1991,Ki,=,1.7e-08,7.769551078621726
4er1,2.0,1991,Ki,=,2.4199999999999997e-07,6.616184634019569
5er2,1.8,1991,Ki,=,2.7e-07,6.568636235841013
4er2,2.0,1991,Ki,=,5e-10,9.301029995663981
2ypi,2.5,1991,Ki,=,1.4999999999999999e-05,4.823908740944319
4er4,2.1,1991,Ki,=,1.6e-07,6.795880017344075
5apr,2.1,1991,Ki,=,1.7e-08,7.769551078621726
3er5,1.8,1991,Ki,=,1e-09,9.0
4apr,2.5,1991,Ki,=,2.0000000000000002e-07,6.698970004336019
5hvp,2.0,1991,Ki,=,2e-08,7.698970004336019
6cpa,2.0,1991,Ki,=,3e-12,11.522878745280337
2er9,2.2,1991,Ki,=,4e-08,7.3979400086720375
2er0,3.0,1991,Ki,=,4.2e-07,6.376750709602099
4sga,1.8,1991,Ki,=,5.0000000000000004e-08,7.301029995663981
2er6,2.0,1991,Ki,=,6.000000000000001e-08,7.221848749616356
3er3,2.0,1991,Ki,=,8.100000000000001e-08,7.0915149811213505
5er1,2.0,1991,Ki,=,9.600000000000001e-07,6.017728766960431
9abp,1.97,1992,Kd,=,1e-08,8.0
1bap,1.75,1992,Kd,=,1.4e-07,6.853871964321762
5abp,1.8,1992,Kd,=,2.3e-07,6.638272163982407
1apb,1.76,1992,Kd,=,1.51e-06,5.82102305270683
7gpb,2.9,1992,Kd,=,3e-06,5.522878745280337
5est,2.09,1992,Ki,=,3e-07,6.522878745280337
6gpb,2.86,1992,Ki,=,1.4e-05,4.853871964321762
9hvp,2.8,1992,Ki,=,4.500000000000001e-09,8.346787486224656
4est,1.78,1992,Ki,=,9.499999999999999e-06,5.022276394711152
2mip,2.2,1993,IC50,=,3.5000000000000003e-09,8.455931955649724
4phv,2.1,1993,IC50,=,6.700000000000001e-10,9.173925197299173
1rne,2.4,1993,IC50,=,2e-09,8.698970004336019
1ind,2.2,1993,Kd,=,9e-11,10.045757490560675
1igj,2.5,1993,Kd,=,1.0000000000000002e-10,10.0
1fkb,1.7,1993,Kd,=,2.0000000000000003e-10,9.698970004336019
1gca,1.7,1993,Kd,=,2e-07,6.698970004336019
1dmb,1.8,1993,Kd,=,1.8e-06,5.7447274948966935
1atr,2.34,1993,Kd,=,1.1e-07,6.958607314841775
1dbb,2.7,1993,Kd,=,1e-09,9.0
1pop,2.1,1993,Kd,=,1e-09,9.0
1gpy,2.4,1993,Kd,=,1.9999999999999998e-05,4.698970004336019
1abf,1.9,1993,Kd,=,3.7999999999999996e-06,5.42021640338319
1rgl,2.0,1993,Kd,=,3.7e-05,4.431798275933005
1rgk,1.87,1993,Kd,=,4.91e-05,4.308918507877031
1hiv,2.0,1993,Ki,=,1e-09,9.0
1pip,1.7,1993,Ki,=,9.999999999999999e-06,5.0
8hvp,2.5,1993,Ki,=,1e-09,9.0
3gst,1.9,1993,Ki,=,1.8999999999999998e-07,6.721246399047171
1cps,2.25,1993,Ki,=,2.1999999999999998e-07,6.657577319177793
7hvp,2.4,1993,Ki,=,2.4e-10,9.619788758288394
2gst,1.8,1993,Ki,=,8.499999999999999e-07,6.070581074285707
2lpr,2.25,1993,Ki,=,1.3e-09,8.886056647693163
3lpr,2.15,1993,Ki,=,1.1e-06,5.958607314841775
1ppm,1.7,1993,Ki,=,1.6000000000000001e-06,5.795880017344075
1hos,2.3,1993,Ki,=,2.8e-09,8.55284196865778
1ppl,1.7,1993,Ki,=,2.8e-09,8.55284196865778
9lpr,2.2,1993,Ki,=,2.0000000000000003e-06,5.698970004336019
8lpr,2.25,1993,Ki,=,2.4000000000000003e-07,6.619788758288394
5lpr,2.13,1993,Ki,=,2.7e-07,6.568636235841013
1bcd,1.9,1993,Ki,=,2e-09,8.698970004336019
1ivp,2.5,1993,Ki,=,3.0000000000000004e-08,7.522878745280337
1trd,2.5,1993,Ki,=,4e-06,5.3979400086720375
6lpr,2.1,1993,Ki,=,5.0000000000000004e-08,7.301029995663981
7lpr,2.05,1993,Ki,=,6.600000000000001e-08,7.180456064458132
1mns,2.0,1993,Ki,=,6.7e-05,4.173925197299174
1ths,2.2,1994,IC50,=,2.9e-08,7.5376020021010435
1htf,2.2,1994,IC50,=,1.48e-07,6.8297382846050425
2hmb,2.1,1994,IC50,=,2.6e-06,5.585026652029182
1him,2.9,1994,IC50,=,2e-08,7.698970004336019
1dbj,2.7,1994,IC50,=,2.1000000000000003e-08,7.6777807052660805
1hte,2.8,1994,IC50,=,2.2650000000000003e-06,5.644931793651149
2dbl,2.9,1994,IC50,=,2e-09,8.698970004336019
1htg,2.0,1994,IC50,=,3.8e-09,8.42021640338319
1thr,2.3,1994,IC50,=,4.2e-06,5.376750709602099
1acj,2.8,1994,IC50,=,8.199999999999999e-09,8.086186147616283
