pdb_code,resolution,year,measure_type,operator,affinity_m,paffinity,split
2tpi,2.1,1982,Kd,=,4.9e-05,4.309803919971486,train
5tln,2.3,1982,Ki,=,4.3e-07,6.366531544420414,train
4cts,2.9,1984,Kd,=,1e-05,5.0,train
6cha,1.8,1987,Ki,=,4e-05,4.3979400086720375,train
1tlp,2.3,1989,Ki,=,2.8000000000000006e-08,7.552841968657781,train
1tmn,1.9,1989,Ki,=,5e-08,7.301029995663981,train
1p05,2.1,1990,Ki,=,1.1e-06,5.958607314841775,train
6gch,2.1,1990,Ki,=,2e-05,4.698970004336019,train
7gch,1.8,1990,Ki,=,2e-06,5.698970004336019,train
1p06,2.34,1990,Ki,=,5.4e-07,6.267606240177032,train
1p03,2.15,1990,Ki,=,6.400000000000001e-09,8.193820026016112,train
1rbp,2.0,1991,Kd,=,1.9e-07,6.721246399047171,train
1fkf,1.7,1991,Kd,=,4.0000000000000007e-10,9.397940008672036,train
6apr,2.5,1991,Ki,=,1.7e-08,7.769551078621726,train
4er1,2.0,1991,Ki,=,2.42e-07,6.616184634019569,train
5er2,1.8,1991,Ki,=,2.7e-07,6.568636235841013,train
4er2,2.0,1991,Ki,=,5e-10,9.30102999566398,train
2ypi,2.5,1991,Ki,=,1.5e-05,4.823908740944319,train
4er4,2.1,1991,Ki,=,1.6e-07,6.795880017344075,train
5apr,2.1,1991,Ki,=,1.7e-08,7.769551078621726,train
3er5,1.8,1991,Ki,=,1e-09,9.0,train
6cpa,2.0,1991,Ki,=,3e-12,11.522878745280336,train
2er0,3.0,1991,Ki,=,4.2e-07,6.376750709602099,train
4sga,1.8,1991,Ki,=,5e-08,7.301029995663981,train
2er6,2.0,1991,Ki,=,6.000000000000002e-08,7.221848749616356,train
3er3,2.0,1991,Ki,=,8.100000000000001e-08,7.091514981121351,train
1apb,1.76,1992,Kd,=,1.51e-06,5.82102305270683,train
7gpb,2.9,1992,Kd,=,3e-06,5.522878745280337,train
5est,2.09,1992,Ki,=,3e-07,6.522878745280337,train
6gpb,2.86,1992,Ki,=,1.4e-05,4.853871964321762,train
9hvp,2.8,1992,Ki,=,4.5000000000000014e-09,8.346787486224656,train
4est,1.78,1992,Ki,=,9.5e-06,5.022276394711152,train
2mip,2.2,1993,IC50,=,3.5e-09,8.455931955649724,train
1rne,2.4,1993,IC50,=,2e-09,8.698970004336019,train
1ind,2.2,1993,Kd,=,9e-11,10.045757490560677,train
1igj,2.5,1993,Kd,=,1.0000000000000002e-10,10.0,train
1fkb,1.7,1993,Kd,=,2.0000000000000003e-10,9.69897000433602,train
1gca,1.7,1993,Kd,=,2e-07,6.698970004336019,train
1dmb,1.8,1993,Kd,=,1.8e-06,5.7447274948966935,train
1pop,2.1,1993,Kd,=,1e-09,9.0,train
1abf,1.9,1993,Kd,=,3.8e-06,5.42021640338319,train
1rgl,2.0,1993,Kd,=,3.7e-05,4.431798275933005,train
1rgk,1.87,1993,Kd,=,4.91e-05,4.308918507877031,train
1hiv,2.0,1993,Ki,=,1e-09,9.0,train
1pip,1.7,1993,Ki,=,1e-05,5.0,train
3gst,1.9,1993,Ki,=,1.9e-07,6.721246399047171,train
7hvp,2.4,1993,Ki,=,2.4e-10,9.619788758288394,train
2gst,1.8,1993,Ki,=,8.499999999999999e-07,6.070581074285707,train
2lpr,2.25,1993,Ki,=,1.3e-09,8.886056647693163,train
1ppm,1.7,1993,Ki,=,1.6e-06,5.795880017344075,train
1hos,2.3,1993,Ki,=,2.8e-09,8.55284196865778,train
1ppl,1.7,1993,Ki,=,2.8e-09,8.55284196865778,train
9lpr,2.2,1993,Ki,=,2.0000000000000003e-06,5.698970004336019,train
5lpr,2.13,1993,Ki,=,2.7e-07,6.568636235841013,train
1bcd,1.9,1993,Ki,=,2e-09,8.698970004336019,train
1ivp,2.5,1993,Ki,=,3.0000000000000004e-08,7.522878745280337,train
1trd,2.5,1993,Ki,=,4e-06,5.3979400086720375,train
6lpr,2.1,1993,Ki,=,5e-08,7.301029995663981,train
7lpr,2.05,1993,Ki,=,6.600000000000002e-08,7.180456064458132,train
1mns,2.0,1993,Ki,=,6.7e-05,4.173925197299174,train
1ths,2.2,1994,IC50,=,2.9e-08,7.5376020021010435,train
2hmb,2.1,1994,IC50,=,2.6e-06,5.585026652029182,train
1him,2.9,1994,IC50,=,2e-08,7.698970004336019,train
1hte,2.8,1994,IC50,=,2.2650000000000003e-06,5.644931793651149,train
1thr,2.3,1994,IC50,=,4.2e-06,5.376750709602099,train
1acj,2.8,1994,IC50,=,8.199999999999999e-09,8.086186147616283,train
1hsl,1.89,1994,Kd,=,6.4e-08,7.1938200260161125,train
2drc,1.9,1994,Kd,=,1.3000000000000002e-10,9.886056647693165,train
1sri,1.65,1994,Kd,=,8.299999999999999e-07,6.080921907623926,train
1lst,1.8,1994,Kd,=,1.4e-08,7.853871964321762,train
1tkc,2.7,1994,Kd,=,1.4e-05,4.853871964321762,train
1ctr,2.45,1994,Kd,=,1e-06,6.0,train
1dhj,1.8,1994,Kd,=,2.8100000000000004e-07,6.55129368009492,train
1tys,1.8,1994,Kd,=,3.27e-06,5.485452247339714,train
1sps,2.7,1994,Kd,=,3e-09,8.522878745280337,train
1pyg,2.87,1994,Kd,=,3e-06,5.522878745280337,train
1mfd,2.1,1994,Kd,=,4.9000000000000005e-06,5.309803919971486,train
1dhi,1.9,1994,Kd,=,5.5e-08,7.259637310505756,train
1srg,1.8,1994,Kd,=,5e-06,5.301029995663981,train
1mfa,1.7,1994,Kd,=,9.1e-06,5.040958607678906,train
1tni,1.9,1994,Ki,=,0.0001,4.0,train
1add,2.4,1994,Ki,=,1.8e-07,6.7447274948966935,train
1cil,1.6,1994,Ki,=,3.7e-10,9.431798275933003,train
1thl,1.7,1994,Ki,=,3.8e-07,6.42021640338319,train
1ela,2.0,1994,Ki,=,4.4e-07,6.356547323513813,train
1inc,1.94,1994,Ki,=,4.6000000000000007e-10,9.337242168318426,train
1ppc,1.8,1994,Ki,=,6.9e-07,6.161150909262744,train
1fig,3.0,1994,Ki,=,6e-07,6.221848749616356,train
1tet,2.3,1994,Ki,=,8.299999999999999e-07,6.080921907623926,train
1azm,2.0,1994,Ki,=,8e-07,6.096910013008056,train
1rpa,3.0,1994,Ki,=,1e-06,6.0,train
1ett,2.5,1994,Ki,=,1.3e-06,5.886056647693163,train
1cim,2.1,1994,Ki,=,1.52e-09,8.818156412055227,train
1csi,1.7,1994,Ki,=,1.6000000000000003e-09,8.795880017344075,train
1cin,2.1,1994,Ki,=,1.88e-09,8.72584215073632,train
1apw,1.8,1994,Ki,=,1e-08,8.0,train
1fkg,2.0,1994,Ki,=,1e-08,8.0,train
1tkb,2.3,1994,Ki,=,1e-08,8.0,train
1nnb,2.8,1994,Ki,=,1e-05,5.0,train
1ent,1.9,1994,Ki,=,1.1e-07,6.958607314841775,train
1hvk,1.8,1994,Ki,=,1.0999999999999999e-11,10.958607314841776,train
1hvi,1.8,1994,Ki,=,1.2e-11,10.920818753952377,train
1hgt,2.2,1994,Ki,=,1.5000000000000002e-07,6.823908740944319,train
1els,2.4,1994,Ki,=,1.5e-11,10.82390874094432,train
1heg,2.2,1994,Ki,=,1.8000000000000002e-08,7.744727494896693,train
1apv,1.8,1994,Ki,=,1e-09,9.0,train
1agm,2.3,1994,Ki,=,1e-12,12.0,train
1ppk,1.8,1994,Ki,=,2.2000000000000002e-08,7.657577319177793,train
1csh,1.65,1994,Ki,=,2.8000000000000006e-08,7.552841968657781,train
1iht,2.1,1994,Ki,=,3.5e-09,8.455931955649724,train
1lyb,2.5,1994,Ki,=,3.8e-12,11.42021640338319,train
2cht,2.2,1994,Ki,=,3e-06,5.522878745280337,train
1aaq,2.5,1994,Ki,=,4e-09,8.397940008672037,train
1hvj,2.0,1994,Ki,=,4e-12,11.397940008672036,train
1dwd,3.0,1994,Ki,=,6.6e-09,8.18045606445813,train
1epp,1.9,1994,Ki,=,6.900000000000002e-08,7.161150909262744,train
1elb,2.1,1994,Ki,=,7e-08,7.154901959985743,train
8cpa,2.0,1994,Ki,=,7.1e-10,9.148741651280924,train
1mnc,2.1,1995,IC50,=,4.6e-11,10.337242168318426,train
1fta,2.3,1995,IC50,=,4.4e-07,6.356547323513813,train
1shd,2.0,1995,IC50,=,6.7e-07,6.173925197299173,train
1tps,1.9,1995,IC50,=,1e-08,8.0,train
1drj,2.5,1995,Kd,=,4e-08,7.397940008672037,train
2dri,1.6,1995,Kd,=,1.3e-07,6.886056647693163,train
1drk,2.0,1995,Kd,=,1.5e-07,6.823908740944319,train
1tyr,1.8,1995,Kd,=,1e-07,7.0,train
1hmr,1.4,1995,Kd,=,2.8e-07,6.552841968657781,train
1cbr,2.9,1995,Kd,=,4.0000000000000007e-10,9.397940008672036,train
1hmt,1.4,1995,Kd,=,1.6399999999999998e-06,5.785156151952302,train
1cka,1.5,1995,Kd,=,1.9e-06,5.721246399047171,train
1cny,2.3,1995,Kd,=,1.4e-08,7.853871964321762,train
1laf,2.06,1995,Kd,=,1.4e-08,7.853871964321762,train
1cnw,2.0,1995,Kd,=,1.9e-08,7.721246399047171,train
184l,1.8,1995,Kd,=,1.9e-05,4.721246399047171,train
1pgp,2.5,1995,Kd,=,2e-06,5.698970004336019,train
1lah,2.06,1995,Kd,=,3.0000000000000004e-08,7.522878745280337,train
1ckb,1.9,1995,Kd,=,5.2e-06,5.2839966563652006,train
1ydb,1.9,1995,Kd,=,5.8e-09,8.236572006437063,train
1ydd,2.1,1995,Kd,=,8.6e-08,7.0655015487564325,train
2gyi,1.6,1995,Ki,=,1.0000000000000001e-07,7.0,train
1ele,2.0,1995,Ki,=,1.4e-07,6.853871964321762,train
1fpc,2.3,1995,Ki,=,1e-07,7.0,train
1lcp,1.65,1995,Ki,=,2.3e-07,6.638272163982407,train
1hvr,1.8,1995,Ki,=,3.1e-10,9.508638306165729,train
1atl,1.8,1995,Ki,=,5.2e-07,6.2839966563652006,train
1hpv,1.9,1995,Ki,=,6e-10,9.221848749616356,train
1ctu,2.3,1995,Ki,=,1.2e-12,11.920818753952377,train
1gar,1.96,1995,Ki,=,1e-10,10.0,train
1eat,2.0,1995,Ki,=,1.5000000000000002e-08,7.823908740944319,train
1bty,1.5,1995,Ki,=,1.84e-05,4.735182176990463,train
1ibg,2.7,1995,Ki,=,2.8e-09,8.55284196865778,train
1fiv,2.0,1995,Ki,=,2.6e-07,6.585026652029182,train
1bma,1.8,1995,Ki,=,2.6e-05,4.585026652029182,train
1ctt,2.2,1995,Ki,=,3e-05,4.522878745280337,train
1csr,1.7,1995,Ki,=,4.2000000000000006e-08,7.376750709602099,train
1hvs,2.25,1995,Ki,=,5e-11,10.30102999566398,train
1hii,2.3,1995,Ki,=,5.300000000000001e-08,7.275724130399211,train
1lan,1.9,1995,Ki,=,6.000000000000002e-08,7.221848749616356,train
1hti,2.8,1995,Ki,=,7.4e-06,5.130768280269024,train
1ppi,2.2,1995,Ki,=,9.7e-06,5.013228265733755,train
1hih,2.2,1995,Ki,=,9.000000000000001e-09,8.045757490560675,train
1vrt,2.2,1996,IC50,=,8e-08,7.096910013008056,train
1vru,2.4,1996,IC50,=,1e-07,7.0,train
1rth,2.2,1996,IC50,=,4e-07,6.3979400086720375,train
1bil,2.4,1996,IC50,=,5e-10,9.30102999566398,train
1pig,2.2,1996,IC50,=,7e-10,9.154901959985745,train
1bim,2.8,1996,IC50,=,1.2e-09,8.920818753952375,train
1inf,2.4,1996,IC50,=,1e-05,5.0,train
1cwc,1.86,1996,IC50,=,1.6e-08,7.795880017344075,train
1rti,3.0,1996,IC50,=,1.7e-05,4.769551078621726,train
1cpi,2.05,1996,IC50,=,3.900000000000001e-08,7.4089353929735005,train
1mik,1.76,1996,IC50,=,4.5000000000000003e-07,6.346787486224656,train
